"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Apr 22 11:46:11 CST 2021","Thu Apr 22 11:46:15 CST 2021","3644","","test_case","Test_index","","","test_login[18888889999-12345er-8888-False]",""
"passed","Thu Apr 22 11:46:24 CST 2021","Thu Apr 22 11:46:27 CST 2021","3396","","test_case","Test_index","","","test_login[18888888888-12345-8888-False]",""
"passed","Thu Apr 22 11:45:53 CST 2021","Thu Apr 22 11:45:56 CST 2021","2918","","test_case","Test_index","","","test_login[18888888888-123456-8888-True]",""
